Title,Title_link,Thumbnail,car-details,payment-total
Chevrolet Cavalier LS,https://www.kavak.com/chevrolet-cavalier-ls-2018-compra-de-autos-48103,https://images.kavak.services/images/48103/cavalier-chevrolet-ls-2018-exterior-frontal_lateral_piloto_cercana-16213697297210.jpg?d=540x310,"2018 • 56,000 km • Monterrey","$194,999"
Dodge Journey GT,https://www.kavak.com/dodge-journey-gt-2018-compra-de-autos-48068,https://images.kavak.services/images/48068/journey-dodge-gt-2018-exterior-frontal_lateral_piloto_cercana-16213759851859.jpg?d=540x310,"2018 • 41,930 km • Monterrey","$387,999"
Kia Rio EX,https://www.kavak.com/kia-rio-ex-2018-compra-de-autos-47878,https://images.kavak.services/images/47878/rio-kia-ex-2018-exterior-frontal_lateral_piloto_cercana-16212866573138.jpg?d=540x310,"2018 • 52,390 km • Monterrey","$252,999"
Ford Fusion Se Luxury Híbrido,https://www.kavak.com/ford-fusion-se-luxury-hibrido-2017-compra-de-autos-47661,https://images.kavak.services/images/47661/fusion-ford-se-luxury-hibrido-2017-exterior-frontal_lateral_piloto_cercana-16210313631860.jpg?d=540x310,"2017 • 59,360 km • Monterrey","$347,999"
Dodge Journey SE,https://www.kavak.com/dodge-journey-se-2015-compra-de-autos-47171,https://images.kavak.services/images/47171/journey-dodge-se-2015-exterior-frontsidepilotnear-16214440315117.jpg?d=540x310,"2015 • 112,900 km • Monterrey","$228,999"
Mercedes Benz Clase C C350 Coupé CGI Sport,https://www.kavak.com/mercedes-benz-clase-c-c350-coupe-cgi-sport-2013-compra-de-autos-46907,https://images.kavak.services/images/46907/clase-c-mercedes-benz-c350-coupe-cgi-sport-2013-exterior-frontal_lateral_piloto_cercana-16206647574620.jpg?d=540x310,"2013 • 87,030 km • Monterrey","$327,999"
Toyota Yaris S,https://www.kavak.com/toyota-yaris-s-2018-compra-de-autos-46528,https://images.kavak.services/images/46528/yaris-toyota-s--2018-exterior-frontsidepilotnear-16221277814912.jpg?d=540x310,"2018 • 33,620 km • Monterrey","$246,999"
Nissan Altima Advance,https://www.kavak.com/nissan-altima-advance-2014-compra-de-autos-46274,https://images.kavak.services/images/46274/nissan-altima-advance2014-frontal-lateral-piloto-lejana-1621299212019.jpg?d=540x310,"2014 • 114,940 km • Monterrey","$184,999"
Mercedes Benz Clase C C250 CGI Sport,https://www.kavak.com/mercedes-benz-clase-c-c250-cgi-sport-2017-compra-de-autos-46263,https://images.kavak.services/images/46263/mercedes-benz-clase-c-c250-cgi-sport2017-frontal-lateral-piloto-lejana-1621286496168.jpg?d=540x310,"2017 • 48,860 km • Monterrey","$466,999"
Mercedes Benz Clase S S65 L AMG,https://www.kavak.com/mercedes-benz-clase-s-s65-l-amg-2015-compra-de-autos-23754,,"2015 • 55,308 km • Ciudad de México","$1,500,999"
Jeep Grand Cherokee Summit HEMI,https://www.kavak.com/jeep-grand-cherokee-summit-hemi-2015-compra-de-autos-46068,,"2015 • 95,480 km • Monterrey","$532,999"
Chevrolet Cruze LS Turbo,https://www.kavak.com/chevrolet-cruze-ls-turbo-2017-compra-de-autos-45919,,"2017 • 72,910 km • Monterrey","$214,999"
Mini Cooper Chili,https://www.kavak.com/mini-mini-cooper-chili-2020-compra-de-autos-45894,,"2020 • 25,780 km • Monterrey","$416,999"
Hyundai Grand i10 GL,https://www.kavak.com/hyundai-grand-i10-gl-2018-compra-de-autos-45760,,"2018 • 14,835 km • Monterrey","$167,999"
Seat Leon FR 1.4T,https://www.kavak.com/seat-leon-fr-14t-2016-compra-de-autos-45682,,"2016 • 99,740 km • Monterrey","$249,999"
Audi A3 Select,https://www.kavak.com/audi-a3-select-2018-compra-de-autos-45450,,"2018 • 88,000 km • Monterrey","$382,999"
Ford Eco Sport Impulse,https://www.kavak.com/ford-eco-sport-impulse-2018-compra-de-autos-44908,,"2018 • 49,480 km • Monterrey","$244,999"
Mini Cooper Chili,https://www.kavak.com/mini-mini-cooper-chili-2017-compra-de-autos-44756,,"2017 • 86,650 km • Monterrey","$314,999"
Kia Soul LX,https://www.kavak.com/kia-soul-lx-2018-compra-de-autos-44690,,"2018 • 51,610 km • Monterrey","$236,999"
Audi A1 Hatch Back Cool,https://www.kavak.com/audi-a1-hatch-back-cool-2017-compra-de-autos-44331,,"2017 • 49,060 km • Monterrey","$297,999"
Mini Cooper Salt,https://www.kavak.com/mini-mini-cooper-salt-2017-compra-de-autos-44310,,"2017 • 51,550 km • Monterrey","$284,999"
Audi A3 Elite,https://www.kavak.com/audi-a3-elite-2017-compra-de-autos-43789,,"2017 • 52,140 km • Monterrey","$402,999"
Mitsubishi Mirage Hatch Back GLS,https://www.kavak.com/mitsubishi-mirage-hatch-back-gls-2016-compra-de-autos-43631,,"2016 • 72,340 km • Monterrey","$139,999"
Nissan Pathfinder Advance,https://www.kavak.com/nissan-pathfinder-advance-2016-compra-de-autos-43391,,"2016 • 88,530 km • Monterrey","$342,999"
Audi A4 Trendy Plus,https://www.kavak.com/audi-a4-trendy-plus-2013-compra-de-autos-43349,,"2013 • 91,490 km • Monterrey","$234,999"
Audi A4 Corporate,https://www.kavak.com/audi-a4-corporate-2013-compra-de-autos-42786,,"2013 • 105,210 km • Monterrey","$237,999"
Ford Fusion Sport,https://www.kavak.com/ford-fusion-sport-2017-compra-de-autos-4258,,"2017 • 17,290 km • Monterrey","$434,999"
Volkswagen Jetta A6 Sportline,https://www.kavak.com/volkswagen-jetta-a6-sportline-2015-compra-de-autos-42511,,"2015 • 112,290 km • Monterrey","$219,999"
Volkswagen Touareg V6 4x4,https://www.kavak.com/volkswagen-touareg-v6-4x4-2014-compra-de-autos-42483,,"2014 • 98,000 km • Monterrey","$357,999"
Nissan Sentra Sense,https://www.kavak.com/nissan-sentra-sense-2018-compra-de-autos-42046,,"2018 • 67,280 km • Monterrey","$211,999"
Honda Accord EXL,https://www.kavak.com/honda-accord-exl-2015-compra-de-autos-41530,,"2015 • 105,360 km • Monterrey","$249,999"
Seat Ibiza Xcellence,https://www.kavak.com/seat-ibiza-xcellente-2019-compra-de-autos-41139,,"2019 • 19,400 km • Monterrey","$279,999"
Kia Sportage EX (Línea anterior),https://www.kavak.com/kia-sportage-ex-linea-anterior-2016-compra-de-autos-41045,,"2016 • 71,640 km • Monterrey","$274,999"
Suzuki Vitara GLX,https://www.kavak.com/suzuki-vitara-glx-2016-compra-de-autos-40856,,"2016 • 111,030 km • Monterrey","$264,999"
Audi A1 Hatch Back Cool,https://www.kavak.com/audi-a1-hatch-back-cool-2016-compra-de-autos-40732,,"2016 • 88,000 km • Monterrey","$246,999"
Chevrolet Cruze LS Turbo,https://www.kavak.com/chevrolet-cruze-ls-turbo-2017-compra-de-autos-40695,,"2017 • 79,950 km • Monterrey","$209,999"
Chevrolet Cruze LT Turbo,https://www.kavak.com/chevrolet-cruze-lt-turbo-2017-compra-de-autos-40683,https://images.kavak.services/images/40683/chevrolet-cruze-lt-turbo2017-frontal-lateral-piloto-lejana-1616707635314.jpg?d=540x310,"2017 • 73,720 km • Monterrey","$226,999"
Chevrolet Cruze LS  (Línea anterior),https://www.kavak.com/chevrolet-cruze-ls-linea-anterior-2015-compra-de-autos-40541,https://images.kavak.services/images/40541/cruze-chevrolet-ls--(linea-anterior)-2015-exterior-frontal_lateral_piloto_lejana-16183319781332.jpg?d=540x310,"2015 • 108,250 km • Monterrey","$161,999"
Seat Ibiza FR 1.2T,https://www.kavak.com/seat-ibiza-fr-12t-2015-compra-de-autos-40311,https://images.kavak.services/images/40311/seat-ibiza-fr-1.2t2015-frontal-lateral-piloto-lejana-1616045698550.jpg?d=540x310,"2015 • 77,670 km • Monterrey","$197,999"
Audi A4 Luxury Quattro,https://www.kavak.com/audi-a4-luxury-quattro-2014-compra-de-autos-40255,https://images.kavak.services/images/40255/audi-a4-luxury-quattro2014-frontal-lateral-piloto-lejana-1616047683876.jpg?d=540x310,"2014 • 73,280 km • Monterrey","$284,999"
Mercedes Benz Clase C C63 AMG,https://www.kavak.com/mercedes-benz-clase-c-c63-amg-2012-compra-de-autos-40146,https://images.kavak.services/images/40146/mercedes-benz-clase-c-c63-amg2012-frontal-lateral-piloto-cercana-1616017590448.jpg?d=540x310,"2012 • 75,300 km • Monterrey","$481,999"
Mercedes Benz Clase C C200 CGI Sport,https://www.kavak.com/mercedes-benz-clase-c-c200-cgi-sport-2014-compra-de-autos-40085,https://images.kavak.services/images/40085/mercedes-benz-clase-c-c200-cgi-sport2014-frontal-lateral-piloto-lejana-1615968662182.jpg?d=540x310,"2014 • 79,370 km • Monterrey","$272,999"
Ford Focus SE,https://www.kavak.com/ford-focus-se-2016-compra-de-autos-40037,https://images.kavak.services/images/40037/ford-focus-se2016-frontal-lateral-piloto-lejana-1615964886842.jpg?d=540x310,"2016 • 51,740 km • Monterrey","$201,999"
Honda HR-V Uniq,https://www.kavak.com/honda-hr-v-uniq-2016-compra-de-autos-40019,https://images.kavak.services/images/40019/honda-hr-v-uniq2016-frontal-lateral-piloto-lejana-1615965872522.jpg?d=540x310,"2016 • 108,180 km • Monterrey","$254,999"
Seat Toledo Advance,https://www.kavak.com/seat-toledo-advance-2017-compra-de-autos-39846,https://images.kavak.services/images/39846/seat-toledo-advance2017-frontal-lateral-piloto-lejana-1615943411752.jpg?d=540x310,"2017 • 82,820 km • Monterrey","$226,999"
Nissan Pathfinder Sense,https://www.kavak.com/nissan-pathfinder-sense-2014-compra-de-autos-39828,,"2014 • 76,390 km • Monterrey","$257,999"
Suzuki Vitara GLS,https://www.kavak.com/suzuki-vitara-gls-2016-compra-de-autos-39496,,"2016 • 77,830 km • Monterrey","$244,999"
Audi A1 Hatch Back Cool,https://www.kavak.com/audi-a1-hatch-back-cool-2017-compra-de-autos-39425,,"2017 • 47,350 km • Monterrey","$302,999"
Chevrolet Aveo LT,https://www.kavak.com/chevrolet-aveo-lt-2016-compra-de-autos-39033,,"2016 • 53,320 km • Monterrey","$139,999"
Volkswagen Touareg V6 TD 4x4,https://www.kavak.com/volkswagen-touareg-v6-td-4x4-2012-compra-de-autos-38995,,"2012 • 116,500 km • Monterrey","$332,999"
Suzuki Ciaz RS,https://www.kavak.com/suzuki-ciaz-rs-2019-compra-de-autos-38899,,"2019 • 19,000 km • Monterrey","$234,999"
Renault Logan Intens,https://www.kavak.com/renault-logan-intens-2019-compra-de-autos-38898,,"2019 • 16,800 km • Monterrey","$197,999"
Nissan X Trail Sense,https://www.kavak.com/nissan-x-trail-sense-2015-compra-de-autos-38797,,"2015 • 110,280 km • Monterrey","$249,999"
Mazda CX-9 Grand Touring,https://www.kavak.com/mazda-cx-9-grand-touring-2015-compra-de-autos-38686,,"2015 • 100,130 km • Monterrey","$314,999"
Chevrolet Bolt LT,https://www.kavak.com/chevrolet-bolt-lt-2018-compra-de-autos-38524,,"2018 • 42,560 km • Monterrey","$543,999"
